"","Management","Area","Order","Family","Genus","Species","Model","Meeting_or_reference","Case","Notes","Stock","G.short","G.Species","Manage.short","LME","Area.broad","Area.long","Area.narrow","Stock.short","Stock.no.species"
"ICES-WGBFAS_BS 22-32_Sprattus_sprattus","ICES-WGBFAS","BS 22-32","Clupeiformes","Clupeidae","Sprattus","sprattus","XSA, SAM under consideration","","Y","Catch.8 is 8+","ICES-WGBFAS_BS 22-32_Sprattus_sprattus","S.","S. sprattus","ICES","NE Atlantic","BS","Baltic Sea","","Baltic Sea  S. sprattus","Baltic Sea "
"ICES-WGBFAS_BS 25-29-32_Clupea_harengus","ICES-WGBFAS","BS 25-29-32","Clupeiformes","Clupeidae","Clupea","harengus","XSA, SAM under consideration","ICES CM 2013/ACOM:43","","Catch.8 is 8+","ICES-WGBFAS_BS 25-29-32_Clupea_harengus","C.","C. harengus","ICES","NE Atlantic","BS","Baltic Sea","25-32","Baltic Sea 25-32 C. harengus","Baltic Sea 25-32"
"ICES-WGBFAS_NS IIIa 22-24_Solea_Solea","ICES-WGBFAS","NS IIIa 22-24","Pleuronectiformes","Soleidae","Solea","solea","SAM","","","Catch.9 is 9+, FK added this column","ICES-WGBFAS_NS IIIa 22-24_Solea_Solea","S.","S. solea","ICES","NE Atlantic","NS","North Sea","22-24","North Sea 22-24 S. solea","North Sea 22-24"
"ICES-WGBFAS_WBS-25-32_Gadus_morhua","ICES-WGBFAS","WBS-25-32","Gadiformes","Gadidae","Gadus","morhua","SAM","","","Catch.7 is 7+; corrected from Julie's to include ALL landings (comm, disc, rec). Data from 2017, in thousands.","ICES-WGBFAS_WBS-25-32_Gadus_morhua","G.","G. morhua","ICES","NE Atlantic","BS","Baltic Sea","","Baltic Sea  G. morhua","Baltic Sea "
"ICES-WGCSE_CS27.6a_Merlangius_merlangus","ICES-WGCSE","CS27.6a","Gadiformes","Gadidae","Merlangius","merlangus","TSA","Gudmundsson 1994, Fryer 2002, Needle and Fryer 2002","","Catch.7 is 7+","ICES-WGCSE_CS27.6a_Merlangius_merlangus","M.","M. merlangus","ICES","NE Atlantic","CS","Celtic Sea","27.6a","Celtic Sea 27.6a M. merlangus","Celtic Sea 27.6a"
"ICES-WGCSE_CS7a_Merlangius_merlangus","ICES-WGCSE","CS7a","Gadiformes","Gadidae","Merlangius","merlangus","SPALY update of ASAP assessment","WKIRISH3","","Catch at age does not include discards","ICES-WGCSE_CS7a_Merlangius_merlangus","M.","M. merlangus","ICES","NE Atlantic","CS","Celtic Sea","7a","Celtic Sea 7a M. merlangus","Celtic Sea 7a"
"ICES-WGCSE_CS7e-k_Gadus_morhua","ICES-WGCSE","CS7e-k","Gadiformes","Gadidae","Gadus","morhua","XSA","WKROUND 2012","","Catch data are InterCatch outputs, there is a separate table with catch-at-age used in the assessment (after sop correction)","ICES-WGCSE_CS7e-k_Gadus_morhua","G.","G. morhua","ICES","NE Atlantic","CS","Celtic Sea","","Celtic Sea  G. morhua","Celtic Sea "
"ICES-WGCSE_CS7f-7g_Solea_solea","ICES-WGCSE","CS7f-7g","Pleuronectiformes","Soleidae","Solea","solea","XSA","","","Catch.10 is 10+","ICES-WGCSE_CS7f-7g_Solea_solea","S.","S. solea","ICES","NE Atlantic","CS","Celtic Sea","","Celtic Sea  S. solea","Celtic Sea "
"ICES-WGCSE_IS27.7a_Pleuronectes_platessa","ICES-WGCSE","IS27.7a","Pleuronectiformes","Pleuronectidae","Pleuronectes","platessa","SAM","ICES WKIRISH (2017)","","Catch.8 is 8+","ICES-WGCSE_IS27.7a_Pleuronectes_platessa","P.","P. platessa","ICES","NE Atlantic","IS","Irish Sea","7a","Irish Sea 7a P. platessa","Irish Sea 7a"
"ICES-WGCSE_IS6a-7b-7j_Dicentrarchus _labrax","ICES-WGCSE","IS6a-7b-7j","Perciformes","Moronidae","Dicentrarchus ","labrax","No assessment","","","","ICES-WGCSE_IS6a-7b-7j_Dicentrarchus _labrax","D.","D. labrax","ICES","NE Atlantic","IS","Irish Sea","","Irish Sea  D. labrax","Irish Sea "
"ICES-WGCSE_IS7a_Gadus_morhua","ICES-WGCSE","IS7a","Gadiformes","Gadidae","Gadus","morhua","ASAP","ICES WKIRISH3 (ICES, 2017a)","","Catch.6 is 6+","ICES-WGCSE_IS7a_Gadus_morhua","G.","G. morhua","ICES","NE Atlantic","IS","Irish Sea","","Irish Sea  G. morhua","Irish Sea "
"ICES-WGCSE_IS7e_Pleuronectes_platessa","ICES-WGCSE","IS7e","Pleuronectiformes","Pleuronectidae","Pleuronectes","platessa","XSA","","","Catch.10 is 10+","ICES-WGCSE_IS7e_Pleuronectes_platessa","P.","P. platessa","ICES","NE Atlantic","IS","Irish Sea","7e","Irish Sea 7e P. platessa","Irish Sea 7e"
"ICES-WGCSE_IS7e_Solea_solea","ICES-WGCSE","IS7e","Pleuronectiformes","Soleidae","Solea","solea","XSA","WKFLAT (ICES 2012), IBPWCFLAT2 (ICES, 2015)","","Catch.12 is 12+","ICES-WGCSE_IS7e_Solea_solea","S.","S. solea","ICES","NE Atlantic","IS","Irish Sea","","Irish Sea  S. solea","Irish Sea "
"ICES-WGCSE_ISbc-ek_Melanogrammus_aeglefinus","ICES-WGCSE","ISbc-ek","Gadiformes","Gadidae","Melanogrammus","aeglefinus","ASAP + XSA","","","","ICES-WGCSE_ISbc-ek_Melanogrammus_aeglefinus","M.","M. aeglefinus","ICES","NE Atlantic","IS","Irish Sea","","Irish Sea  M. aeglefinus","Irish Sea "
"ICES-WGCSE_NS6a_Gadus_morhua","ICES-WGCSE","NS6a","Gadiformes","Gadidae","Gadus","morhua","TSA","","","Catch.7 is 7+","ICES-WGCSE_NS6a_Gadus_morhua","G.","G. morhua","ICES","NE Atlantic","NS","North Sea","6a","North Sea 6a G. morhua","North Sea 6a"
"ICES-WGCSE_ROCK6b_Melanogrammus_aeglefinus","ICES-WGCSE","ROCK6b","Gadiformes","Gadidae","Melanogrammus","aeglefinus","XSA","","","Catch.7 is 7+ entered by FK","ICES-WGCSE_ROCK6b_Melanogrammus_aeglefinus","M.","M. aeglefinus","ICES","NE Atlantic","CS","Celtic Sea Rockall","","Celtic Sea Rockall  M. aeglefinus","Celtic Sea Rockall "
"ICES-WGHANSA_SP8abd_Sardina _pilchardus","ICES-WGHANSA","SP8abd","Clupeiformes","Clupeidae","Sardina ","pilchardus","survey indices","","","Catch.8 is 8+. Data are French and Spanish commercial fleets in thousands","ICES-WGHANSA_SP8abd_Sardina _pilchardus","S.","S. pilchardus","ICES","NE Atlantic","BoB","Bay of Biscay","","Bay of Biscay  S. pilchardus","Bay of Biscay "
